word,num_words
abdomen pain,2
abdominal colic,2
abdominal pain,2
ache,1
aches,1
achiness,1
aching,1
aching muscles,2
aching pain,2
achyness,1
acute abdomen,2
acute pain,2
after pains,2
agonizing pain,2
allodynia,1
anal pain,2
analgesia,1
angina,1
angina decubitus,2
angina pectoris,2
ankle pain,2
annoying pain,2
anorectal pain,2
antalgic gait,2
apin,1
appendicular pain,2
arm pain,2
arthralgia,1
arthritis,1
back ache,2
back aches,2
back pain,2
backache,1
backpain,1
bellyache,1
bladder pain,2
bodily pain,2
bone pain,2
boney pain,2
bony pain,2
breakthrough pain,2
breast pain,2
breastfeeding painful,2
breathing painful,2
burning pain,2
bursal pain,2
buttock pain,2
calf pain,2
central pain,2
cephalalgia,1
cephalalgia headache,2
cephalodynia,1
cephalodynias,1
cervical pain,2
cervical pains,2
cervicalgia,1
cheilodynia,1
chest pain,2
chest pains,2
chronic back pain,3
chronic pain,2
claudication,1
clavicle pain,2
coccyalgia,1
coccydynia,1
coccygalgia,1
coccygeal pain,2
coccygodynia,1
coccyodynia,1
coccyx pain,2
coccyxdynia,1
colicky pain,2
considerable pain,2
constant pain,2
continuous pain,2
costochondral pain,2
coxalgia,1
cramp,1
cramping,1
cramping pain,2
cramps,1
craniofacial pain,2
crushing pain,2
cryalgesia,1
crymodynia,1
cryoanalgesia,1
cutting pain,2
deep pain,2
deltoid pain,2
delusional pain,2
diaphragmatic pain,2
diffuse pain,2
discogenic pain,2
dolor,1
dorsalgia,1
dorsalgia unspecified,2
dull pain,2
dysaesthesia,1
dysesthesia,1
dysmenorrhea,1
dyspareunia,1
dysuria,1
ear ache,2
ear pain,2
earache,1
earaches,1
elbow pain,2
epididymal pain,2
epigastric pain,2
excruciating pain,2
exquisite pain,2
eye pain,2
facial pain,2
flank pain,2
foot pain,2
freezing pain,2
frequent headaches,2
gallbladder pain,2
gardner-diamond syndrome,2
gastrointestinal pain,2
general aches,2
general pain,2
generalised pain,2
genitourinary pain,2
girdle pain,2
glossodynia,1
gnawing pain,2
griping pain,2
growing pains,2
hand pain,2
head discomfort,2
